,price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
10,1,MOO-LAH,1951,https://walottery.com/Scratch/Explorer.aspx?id=1951,https://walottery.com/scratch/assets/imgs/tickets/grid/1951.jpg,5000,3.70,4,0,Top Prize Claimed,,,05/21/26,,,1/4/2026 12:35:03 AM
11,1,COOL CAT,1932,https://walottery.com/Scratch/Explorer.aspx?id=1932,https://walottery.com/scratch/assets/imgs/tickets/grid/1932.jpg,5000,3.70,4,1,,,,05/01/26,,,1/4/2026 12:35:03 AM
12,1,I'M A BIG DILL,1931,https://walottery.com/Scratch/Explorer.aspx?id=1931,https://walottery.com/scratch/assets/imgs/tickets/grid/1931.jpg,3000,3.95,4,0,Top Prize Claimed,,,01/29/26,,,1/4/2026 12:35:03 AM
13,2,GHOUL'S GOLD,1958,https://walottery.com/Scratch/Explorer.aspx?id=1958,https://walottery.com/scratch/assets/imgs/tickets/grid/1958.jpg,20000,4.39,2,0,Top Prize Claimed,,,04/09/26,,,1/4/2026 12:35:03 AM
14,2,LUCKY SLUG,1907,https://walottery.com/Scratch/Explorer.aspx?id=1907,https://walottery.com/scratch/assets/imgs/tickets/grid/1907.jpg,20000,4.38,4,0,Top Prize Claimed,,,02/18/26,,,1/4/2026 12:35:03 AM
15,3,LOTERIA EXTRA! 3RD EDITION,1973,https://walottery.com/Scratch/Explorer.aspx?id=1973,https://walottery.com/scratch/assets/imgs/tickets/grid/1973.jpg,30000,4.15,4,2,,,,,,,1/4/2026 12:35:03 AM
16,3,S'MORE SLINGO,1938,https://walottery.com/Scratch/Explorer.aspx?id=1938,https://walottery.com/scratch/assets/imgs/tickets/grid/1938.jpg,30000,4.17,6,4,,,,,,,1/4/2026 12:35:03 AM
17,3,JACKPOT BINGO,1944,https://walottery.com/Scratch/Explorer.aspx?id=1944,https://walottery.com/scratch/assets/imgs/tickets/grid/1944.jpg,30000,3.79,5,1,,,,,,,1/4/2026 12:35:03 AM
18,3,LOTERIA EXTRA! 2ND EDITION,1943,https://walottery.com/Scratch/Explorer.aspx?id=1943,https://walottery.com/scratch/assets/imgs/tickets/grid/1943.jpg,30000,4.15,4,2,,,,05/19/26,,,1/4/2026 12:35:03 AM
19,3,CROSSWORD TRIPLER,1926,https://walottery.com/Scratch/Explorer.aspx?id=1926,https://walottery.com/scratch/assets/imgs/tickets/grid/1926.jpg,30000,3.90,5,0,Top Prize Claimed,,,04/15/26,,,1/4/2026 12:35:03 AM
20,3,SLINGO SIZZLER,1910,https://walottery.com/Scratch/Explorer.aspx?id=1910,https://walottery.com/scratch/assets/imgs/tickets/grid/1910.jpg,30000,4.17,6,0,Top Prize Claimed,,,04/22/26,,,1/4/2026 12:35:03 AM
21,3,LOTERIA EXTRA!,1921,https://walottery.com/Scratch/Explorer.aspx?id=1921,https://walottery.com/scratch/assets/imgs/tickets/grid/1921.jpg,30000,4.15,4,2,,,,01/13/26,,,1/4/2026 12:35:03 AM
22,3,CUCKOO FOR CROSSWORD,1914,https://walottery.com/Scratch/Explorer.aspx?id=1914,https://walottery.com/scratch/assets/imgs/tickets/grid/1914.jpg,30000,3.91,5,1,,,,01/13/26,,,1/4/2026 12:35:03 AM
23,5,MONEY MAKER SLINGO TRIO 2ND ED,1941,https://walottery.com/Scratch/Explorer.aspx?id=1941,https://walottery.com/scratch/assets/imgs/tickets/grid/1941.jpg,50000,3.37,5,3,,,,,,,1/4/2026 12:35:03 AM
24,5,SEATTLE SEAHAWKS,1956,https://walottery.com/Scratch/Explorer.aspx?id=1956,https://walottery.com/scratch/assets/imgs/tickets/grid/1956.jpg,50000,3.41,4,0,Top Prize Claimed,,,07/30/26,,,1/4/2026 12:35:03 AM
25,5,DOUBLE YOUR DOLLARS,1939,https://walottery.com/Scratch/Explorer.aspx?id=1939,https://walottery.com/scratch/assets/imgs/tickets/grid/1939.jpg,50000,3.36,4,0,Top Prize Claimed,,,07/01/26,,,1/4/2026 12:35:03 AM
26,5,WILD 10S,1966,https://walottery.com/Scratch/Explorer.aspx?id=1966,https://walottery.com/scratch/assets/imgs/tickets/grid/1966.jpg,75000,3.38,4,1,,,,,,,1/4/2026 12:35:03 AM
27,5,WITCHES BREW BUCKS,1959,https://walottery.com/Scratch/Explorer.aspx?id=1959,https://walottery.com/scratch/assets/imgs/tickets/grid/1959.jpg,50000,3.34,4,1,,,,06/02/26,,,1/4/2026 12:35:03 AM
28,5,LOTERIA GRANDE 12TH EDITION,1940,https://walottery.com/Scratch/Explorer.aspx?id=1940,https://walottery.com/scratch/assets/imgs/tickets/grid/1940.jpg,50000,3.32,4,1,,,,,,,1/4/2026 12:35:03 AM
29,5,HOT & COLD NUMBERS,1936,https://walottery.com/Scratch/Explorer.aspx?id=1936,https://walottery.com/scratch/assets/imgs/tickets/grid/1936.jpg,50000,3.48,4,1,,,,,,,1/4/2026 12:35:03 AM
30,5,BANK HEIST,1934,https://walottery.com/Scratch/Explorer.aspx?id=1934,https://walottery.com/scratch/assets/imgs/tickets/grid/1934.jpg,50000,3.48,4,2,,,,,,,1/4/2026 12:35:03 AM
31,5,SEATTLE MARINERS,1930,https://walottery.com/Scratch/Explorer.aspx?id=1930,https://walottery.com/scratch/assets/imgs/tickets/grid/1930.jpg,50000,3.41,4,1,,,,02/17/26,,,1/4/2026 12:35:03 AM
32,5,STACKS OF CASH,1933,https://walottery.com/Scratch/Explorer.aspx?id=1933,https://walottery.com/scratch/assets/imgs/tickets/grid/1933.jpg,75000,3.38,4,1,,,,05/01/26,,,1/4/2026 12:35:03 AM
33,5,SILVER & GOLD CROSSWORD,1830,https://walottery.com/Scratch/Explorer.aspx?id=1830,https://walottery.com/scratch/assets/imgs/tickets/grid/1830.jpg,50000,3.55,4,1,,,,,,,1/4/2026 12:35:03 AM
34,5,LOTERIA GRANDE 11TH EDITION,1909,https://walottery.com/Scratch/Explorer.aspx?id=1909,https://walottery.com/scratch/assets/imgs/tickets/grid/1909.jpg,50000,3.32,4,0,Top Prize Claimed,,,01/29/26,,,1/4/2026 12:35:03 AM
35,5,MONEY MAKER SLINGO TRIO,1929,https://walottery.com/Scratch/Explorer.aspx?id=1929,https://walottery.com/scratch/assets/imgs/tickets/grid/1929.jpg,50000,3.37,5,0,Top Prize Claimed,,,02/24/26,,,1/4/2026 12:35:03 AM
36,5,WASHINGTON CASH,1912,https://walottery.com/Scratch/Explorer.aspx?id=1912,https://walottery.com/scratch/assets/imgs/tickets/grid/1912.jpg,50000,3.36,4,2,,,,03/17/26,,,1/4/2026 12:35:03 AM
37,5,LUCKY FOR LIFE V18,1904,https://walottery.com/Scratch/Explorer.aspx?id=1904,https://walottery.com/scratch/assets/imgs/tickets/grid/1904.jpg,2600000,4.72,4,0,Top Prize Claimed,,,04/27/26,,,1/4/2026 12:35:03 AM
38,10,TRIPLE JACKPOT,1935,https://walottery.com/Scratch/Explorer.aspx?id=1935,https://walottery.com/scratch/assets/imgs/tickets/grid/1935.jpg,250000,3.55,3,2,,,,,,,1/4/2026 12:35:03 AM
39,10,JURASSIC PARK,1945,https://walottery.com/Scratch/Explorer.aspx?id=1945,https://walottery.com/scratch/assets/imgs/tickets/grid/1945.jpg,250000,3.55,3,1,,,,04/07/26,,,1/4/2026 12:35:03 AM
40,10,PINK PANTHER CROSSWORD,1947,https://walottery.com/Scratch/Explorer.aspx?id=1947,https://walottery.com/scratch/assets/imgs/tickets/grid/1947.jpg,250000,3.54,3,1,,,,,,,1/4/2026 12:35:03 AM
41,10,"$250,000 LOTERIA 7th EDITION",1927,https://walottery.com/Scratch/Explorer.aspx?id=1927,https://walottery.com/scratch/assets/imgs/tickets/grid/1927.jpg,250000,3.61,3,1,,,,,,,1/4/2026 12:35:03 AM
42,10,GO FOR THE GREEN,1815,https://walottery.com/Scratch/Explorer.aspx?id=1815,https://walottery.com/scratch/assets/imgs/tickets/grid/1815.jpg,250000,3.47,3,2,,,,,,,1/4/2026 12:35:03 AM
43,10,DIAMOND CROSSWORD,1928,https://walottery.com/Scratch/Explorer.aspx?id=1928,https://walottery.com/scratch/assets/imgs/tickets/grid/1928.jpg,250000,3.54,3,0,Top Prize Claimed,,,02/23/26,,,1/4/2026 12:35:03 AM
44,10,"$1,000 DREAMIN'",1906,https://walottery.com/Scratch/Explorer.aspx?id=1906,https://walottery.com/scratch/assets/imgs/tickets/grid/1906.jpg,1000,3.42,510,38,,,,02/05/26,,,1/4/2026 12:35:03 AM
45,10,BONUS MONEY,1810,https://walottery.com/Scratch/Explorer.aspx?id=1810,https://walottery.com/scratch/assets/imgs/tickets/grid/1810.jpg,250000,3.45,3,1,,,,,,,1/4/2026 12:35:03 AM
46,10,$20 MILLION CASH BLOWOUT,1744,https://walottery.com/Scratch/Explorer.aspx?id=1744,https://walottery.com/scratch/assets/imgs/tickets/grid/1744.jpg,100,10.00,118654,11624,,,,05/01/26,,,1/4/2026 12:35:03 AM
47,20,LOTERIA SUPER GRANDE!,1948,https://walottery.com/Scratch/Explorer.aspx?id=1948,https://walottery.com/scratch/assets/imgs/tickets/grid/1948.jpg,500000,3.36,3,2,,,,,,,1/4/2026 12:35:03 AM
48,20,MONEY MADNESS,1783,https://walottery.com/Scratch/Explorer.aspx?id=1783,https://walottery.com/scratch/assets/imgs/tickets/grid/1783.jpg,500000,3.51,5,1,,,,,,,1/4/2026 12:35:03 AM
49,20,LOTERIA SUPER GRANDE!,1825,https://walottery.com/Scratch/Explorer.aspx?id=1825,https://walottery.com/scratch/assets/imgs/tickets/grid/1825.jpg,500000,3.36,3,1,,,,06/02/26,,,1/4/2026 12:35:03 AM
50,20,"$1,000,000 DIAMOND DAZZLER",1780,https://walottery.com/Scratch/Explorer.aspx?id=1780,https://walottery.com/scratch/assets/imgs/tickets/grid/1780.jpg,1000000,3.40,5,1,,,,,,,1/4/2026 12:35:03 AM
51,30,LUCKY TIMES 50,1954,https://walottery.com/Scratch/Explorer.aspx?id=1954,https://walottery.com/scratch/assets/imgs/tickets/grid/1954.jpg,2000000,2.99,3,0,Top Prize Claimed,,,07/30/26,,,1/4/2026 12:35:03 AM
52,30,MAX-A-MILLION,1911,https://walottery.com/Scratch/Explorer.aspx?id=1911,https://walottery.com/scratch/assets/imgs/tickets/grid/1911.jpg,2000000,2.86,3,0,Top Prize Claimed,,,07/15/26,,,1/4/2026 12:35:03 AM
53,30,SERIOUS MONEY,1801,https://walottery.com/Scratch/Explorer.aspx?id=1801,https://walottery.com/scratch/assets/imgs/tickets/grid/1801.jpg,2000000,2.86,4,2,,,,,,,1/4/2026 12:35:03 AM
