,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,10,Bankroll,446,1000,3.69,100,25,,,,11/01/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,1,Lucky Number,515,500,4.80,20,2,,,,09/06/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Cash Spooktacular,526,500,3.88,20,1,,,,09/06/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,5,Bonus Letter Crossword,523,500,3.84,40,1,,,,08/22/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,X the Money,510,20000,3.44,5,4,,,,08/16/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,3,Crossword Plus,519,25000,3.89,4,0,Top Prize Claimed,,,08/10/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Super Cash Bonus,516,2500,3.99,6,1,,,,08/01/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,5,For the Win!,517,1000,3.68,15,4,,,,08/01/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Lucky Number Doubler,490,500,3.98,25,2,,,,07/05/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,Cash Out,497,1000,3.61,50,26,,,,07/05/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,1,777,501,500,4.71,15,3,,,,06/06/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,Mega Triple 777,504,50000,3.20,2,0,Top Prize Claimed,,,06/06/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,3,Love Crossword,500,30000,3.90,4,1,,,,05/15/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,1,Double Doubler,507,400,4.80,25,2,,,,05/02/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,1,Aces High,481,500,4.96,12,2,,,,04/04/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Fast $50s,495,50,3.95,3227,116,,,,03/01/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,3,Bingo Night,498,25000,3.81,3,2,,,,02/14/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,5,Lucky Cash,453,1000,3.68,25,1,,,,01/18/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Betty Boop™,477,500,3.91,50,0,Top Prize Claimed,,,01/03/2022,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,2,Winning 7’s,483,500,4.10,25,5,,,,11/01/2021,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,3,Hot Cash Lines,482,500,3.80,50,2,,,,09/07/2021,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,Mega Cash,436,1000,3.72,50,1,,,,11/30/2020,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,Best of 7’s,421,1000,3.69,120,1,,,,09/14/2020,,,2023-09-27,https://www.nmlottery.com/games/scratchers
0,10,"$25, $50 or $100!",358,100,7.49,21081,378,,,,07/02/2019,,,2023-09-27,https://www.nmlottery.com/games/scratchers
